game_id	"	"	is_home	"	"	team_id	"	"	team_name	"	"	team_url	"	"	inning_scores	"	"	team_rhe
3300457	#	0	#	235	#	Florida	#	http://stats.ncaa.org/team/index/11620?org_id=235	#	[0, 0, 0, 0, 0, 0, 0, 0, 1]	#	[1, 8, 1]
3300457	#	1	#	334	#	Kentucky	#	http://stats.ncaa.org/team/index/11620?org_id=334	#	[0, 4, 4, 4, 5, 0, 0, 0, 0]	#	[17, 20, 0]
3258503	#	0	#	457	#	North Carolina	#	http://stats.ncaa.org/team/index/11620?org_id=457	#	[0, 1, 0, 0, 0, 0, 0, 0, 1]	#	[2, 5, 3]
3258503	#	1	#	193	#	Duke	#	http://stats.ncaa.org/team/index/11620?org_id=193	#	[0, 0, 1, 0, 1, 0, 1, 0, 0]	#	[3, 9, 0]
3228974	#	0	#	366	#	Louisiana Tech	#	http://stats.ncaa.org/team/index/11620?org_id=366	#	[0, 0, 0, 0, 0, 0, 0, 0, 1]	#	[1, 4, 0]
3089800	#	0	#	450	#	Mt. St. Mary's	#	http://stats.ncaa.org/team/index/11620?org_id=450	#	[0, 0, 0, 0, 2, 0, 0, 0, 6]	#	[8, 7, 0]
3089800	#	1	#	173	#	Davidson	#	http://stats.ncaa.org/team/index/11620?org_id=173	#	[2, 0, 0, 0, 0, 0, 0, 0, 0]	#	[2, 7, 1]
3343791	#	0	#	306	#	Indiana	#	http://stats.ncaa.org/team/index/11620?org_id=306	#	[0, 1, 3, 2, 1, 0, 1, 1, 0]	#	[9, 13, 1]
3343791	#	1	#	301	#	Illinois	#	http://stats.ncaa.org/team/index/11620?org_id=301	#	[0, 0, 0, 3, 0, 0, 0, 0, 0]	#	[3, 12, 0]
3228974	#	1	#	229	#	Fla. Atlantic	#	http://stats.ncaa.org/team/index/11620?org_id=229	#	[0, 0, 0, 0, 1, 2, 0, 0, 0]	#	[3, 8, 1]
3314383	#	0	#	554	#	Princeton	#	http://stats.ncaa.org/team/index/11620?org_id=554	#	[0, 0, 0, 0, 0, 0, 2, 1, 0]	#	[3, 3, 2]
3314383	#	1	#	158	#	Columbia	#	http://stats.ncaa.org/team/index/11620?org_id=158	#	[2, 0, 4, 1, 5, 0, 1, 0, 0]	#	[13, 14, 1]
3361049	#	0	#	204	#	Eastern Mich.	#	http://stats.ncaa.org/team/index/11620?org_id=204	#	[0, 0, 0, 0, 0, 1, 0, 0, 0]	#	[1, 3, 2]
3361049	#	1	#	774	#	Western Mich.	#	http://stats.ncaa.org/team/index/11620?org_id=774	#	[2, 2, 0, 0, 2, 0, 0, 0, 0]	#	[6, 8, 1]
3161405	#	0	#	541	#	Pepperdine	#	http://stats.ncaa.org/team/index/11620?org_id=541	#	[0, 2, 0, 0, 0, 5, 3, 0, 0]	#	[10, 14, 0]
3161405	#	1	#	657	#	Southern California	#	http://stats.ncaa.org/team/index/11620?org_id=657	#	[3, 0, 0, 0, 0, 0, 0, 0, 1]	#	[4, 11, 0]
