year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	GP	GS	PO	A	E	FldPct	CI	PB	SBA	CSB	IDP	TP
2015	12080	107	California	-	Opponent Totals	-	-	-	-	38	983	373	56	0.960	 	10	28	15	25	 
2015	12080	115	Campbell	-	Totals	-	-	-	-	42	1,119	412	67	0.958	1	4	36	16	21	 
2015	12080	115	Campbell	-	Opponent Totals	-	-	-	-	42	1,086	489	84	0.949	 	7	102	23	28	 
2015	12080	116	Canisius	-	Totals	-	-	-	-	44	1,111	443	61	0.962	 	14	68	10	32	 
2015	12080	116	Canisius	-	Opponent Totals	-	-	-	-	44	1,139	442	68	0.959	3	12	58	22	34	 
2015	12080	1004	Central Ark.	-	Totals	-	-	-	-	38	1,009	412	41	0.972	1	2	17	10	35	 
2015	12080	1004	Central Ark.	-	Opponent Totals	-	-	-	-	38	1,002	393	45	36.803	1	7	28	11	30	 
2015	12080	127	Central Conn. St.	-	Totals	-	-	-	-	36	910	379	56	0.958	 	4	52	12	24	 
2015	12080	127	Central Conn. St.	-	Opponent Totals	-	-	-	-	36	925	419	37	0.973	 	1	22	8	34	 
2015	12080	129	Central Mich.	-	Totals	-	-	-	-	41	1,107	483	58	0.965	1	11	37	31	30	 
2015	12080	129	Central Mich.	-	Opponent Totals	-	-	-	-	41	1,118	414	76	0.953	1	25	75	17	22	 
2015	12080	48	Charleston So.	-	Totals	-	-	-	-	42	1,142	424	48	0.970	 	4	65	21	27	 
2015	12080	48	Charleston So.	-	Opponent Totals	-	-	-	-	42	1,136	496	57	0.966	 	5	38	16	34	 
2015	12080	458	Charlotte	-	Totals	-	-	-	-	34	885	358	50	0.961	2	8	29	10	28	 
2015	12080	458	Charlotte	-	Opponent Totals	-	-	-	-	34	882	375	34	0.974	 	7	15	8	23	 
2015	12080	136	Chicago St.	-	Totals	-	-	-	-	42	1,069	443	51	0.967	 	12	55	22	37	 
2015	12080	136	Chicago St.	-	Opponent Totals	-	-	-	-	42	1,101	462	53	0.967	1	11	38	15	29	 
2015	12080	140	Cincinnati	-	Totals	-	-	-	-	43	1,139	491	49	0.971	 	4	41	25	36	 
2015	12080	140	Cincinnati	-	Opponent Totals	-	-	-	-	43	1,159	430	43	0.974	1	9	31	31	26	 
2015	12080	141	Citadel	-	Totals	-	-	-	-	42	1,112	407	80	0.950	 	4	63	19	21	 
2015	12080	141	Citadel	-	Opponent Totals	-	-	-	-	42	1,096	376	50	0.967	 	12	31	9	31	 
2015	12080	147	Clemson	-	Totals	-	-	-	-	44	1,200	444	63	0.963	 	 	35	10	27	 
2015	12080	147	Clemson	-	Opponent Totals	-	-	-	-	44	1,186	459	60	0.965	2	11	43	19	51	 
2015	12080	149	Coastal Caro.	-	Totals	-	-	-	-	43	1,176	476	63	0.963	1	6	35	17	44	 
2015	12080	149	Coastal Caro.	-	Opponent Totals	-	-	-	-	43	1,128	407	67	0.958	 	16	58	23	33	 
2015	12080	1014	Col. of Charleston	-	Totals	-	-	-	-	41	1,098	445	58	0.964	1	15	39	9	29	 
2015	12080	1014	Col. of Charleston	-	Opponent Totals	-	-	-	-	41	1,047	409	42	0.972	 	5	37	15	28	 
2015	12080	158	Columbia	-	Totals	-	-	-	-	40	996	369	51	0.964	2	8	32	16	33	 
2015	12080	158	Columbia	-	Opponent Totals	-	-	-	-	40	1,006	371	49	38.665	 	17	55	15	27	 
2015	12080	165	Coppin St.	-	Totals	-	-	-	-	39	913	352	103	0.925	 	12	124	32	14	 
2015	12080	165	Coppin St.	-	Opponent Totals	-	-	-	-	39	961	357	45	0.967	1	8	18	9	17	 
2015	12080	167	Cornell	-	Totals	-	-	-	-	38	898	397	54	0.960	2	10	43	17	27	 
2015	12080	167	Cornell	-	Opponent Totals	-	-	-	-	38	931	355	43	0.968	 	7	25	7	35	 
2015	12080	169	Creighton	-	Totals	-	-	-	-	34	923	422	30	0.978	 	5	32	12	32	 
2015	12080	169	Creighton	-	Opponent Totals	-	-	-	-	34	900	426	49	0.964	 	8	43	20	24	 
2015	12080	1045	Dallas Baptist	-	Totals	-	-	-	-	41	1,104	424	37	0.976	1	12	23	17	36	 
2015	12080	1045	Dallas Baptist	-	Opponent Totals	-	-	-	-	41	1,076	411	66	0.958	1	14	44	14	31	 
2015	12080	172	Dartmouth	-	Totals	-	-	-	-	39	939	390	32	0.976	2	7	52	8	24	 
2015	12080	172	Dartmouth	-	Opponent Totals	-	-	-	-	39	957	418	63	0.956	1	8	27	6	33	 
2015	12080	173	Davidson	-	Totals	-	-	-	-	37	984	410	65	0.955	2	13	41	17	33	 
2015	12080	173	Davidson	-	Opponent Totals	-	-	-	-	37	976	350	37	0.973	1	12	22	7	28	 
2015	12080	175	Dayton	-	Totals	-	-	-	-	42	1,119	465	67	0.959	 	8	52	30	28	 
2015	12080	175	Dayton	-	Opponent Totals	-	-	-	-	42	1,139	411	45	0.972	2	 	45	24	26	 
2015	12080	180	Delaware	-	Totals	-	-	-	-	33	864	345	43	0.966	 	5	27	12	28	 
2015	12080	180	Delaware	-	Opponent Totals	-	-	-	-	33	854	305	50	0.959	1	11	39	14	27	 
2015	12080	178	Delaware St.	-	Totals	-	-	-	-	34	821	303	72	0.940	1	8	51	5	13	 
2015	12080	178	Delaware St.	-	Opponent Totals	-	-	-	-	34	854	346	55	0.956	 	5	47	21	17	 
2015	12080	193	Duke	-	Totals	-	-	-	-	43	1,145	463	55	0.967	1	9	41	21	25	 
2015	12080	193	Duke	-	Opponent Totals	-	-	-	-	43	1,122	393	45	0.971	 	5	49	17	17	 
2015	12080	196	East Carolina	-	Totals	-	-	-	-	45	1,209	542	52	0.971	 	5	27	23	48	 
2015	12080	196	East Carolina	-	Opponent Totals	-	-	-	-	45	1,164	473	76	0.956	 	7	35	29	43	 
2015	12080	198	East Tenn. St.	-	Totals	-	-	-	-	43	1,132	421	58	0.964	1	15	52	11	35	 
2015	12080	198	East Tenn. St.	-	Opponent Totals	-	-	-	-	43	1,135	515	57	0.967	8	15	47	19	35	1
2015	12080	201	Eastern Ill.	-	Totals	-	-	-	-	38	950	355	60	0.956	3	12	44	9	39	 
2015	12080	201	Eastern Ill.	-	Opponent Totals	-	-	-	-	38	984	404	40	0.972	 	6	26	9	32	 
2015	12080	202	Eastern Ky.	-	Totals	-	-	-	-	36	921	389	43	0.968	1	14	43	19	34	 
2015	12080	202	Eastern Ky.	-	Opponent Totals	-	-	-	-	36	931	368	32	0.976	 	10	46	19	24	 
