game_id	"	"	inning_id	"	"	event_id	"	"	team_text	"	"	score	"	"	opponent_text
3300438	#	1	#	24	#		#		#	Bregman fouled out to 1b (1-1).
3300438	#	1	#	25	#		#		#	Scivicque grounded out to ss (1-0).
3300438	#	1	#	26	#	R: 0 H: 2 E: 0 LOB: 3	#	0-4	#	R: 2 H: 3 E: 1 LOB: 2
3300438	#	2	#	27	#	Alex Detz struck out swinging (1-2).	#		#	
3300438	#	2	#	28	#	Wes Rea struck out swinging (1-2).	#		#	
3300438	#	2	#	29	#	Brett Pirtle singled up the middle (1-1).	#		#	
3300438	#	2	#	30	#	D. Armstrong grounded out to 2b (1-2).	#		#	
3300438	#	2	#	31	#		#		#	Moore grounded out to c (3-1).
3300438	#	2	#	32	#		#		#	Hale flied out to cf (0-0).
3300438	#	2	#	33	#		#		#	Fraley singled to left field (3-1).
3300438	#	2	#	34	#		#		#	Ibarra hit by pitch (2-1); Fraley advanced to second.
3300438	#	2	#	35	#		#		#	J. Holder to p for D. Hudson.
3300438	#	2	#	36	#		#	0-5	#	Stevenson singled to center field, advanced to second on the throw, RBI (1-2); Ibarra advanced to third; Fraley scored.
3300438	#	2	#	37	#		#	0-7	#	McMullen doubled to left field, 2 RBI (0-1); Stevenson scored; Ibarra scored.
3300438	#	2	#	38	#		#		#	Laird grounded out to 2b (1-2).
3300438	#	2	#	39	#	R: 0 H: 1 E: 0 LOB: 1	#	0-7	#	R: 3 H: 3 E: 0 LOB: 1
3300438	#	3	#	40	#	D. Henderson flied out to rf (2-0).	#		#	
3300438	#	3	#	41	#	J. Vickerson singled through the right side (0-0).	#		#	
3300438	#	3	#	42	#	G. Collins doubled to left center, RBI (1-1); J. Vickerson scored.	#	1-7	#	
3300438	#	3	#	43	#	Bugg to p for Bouman.	#		#	
3300438	#	3	#	44	#	Z. Randolph struck out looking (3-2).	#		#	
3300438	#	3	#	45	#	Seth Heck flied out to rf (1-1).	#		#	
3300438	#	3	#	46	#		#		#	Myles Gentry to p for J. Holder.
3300438	#	3	#	47	#		#		#	Bregman grounded out to p (1-0).
3300438	#	3	#	48	#		#		#	Scivicque singled to center field (1-0).
3300438	#	3	#	49	#		#		#	Moore reached on a fielder's choice (0-0); Scivicque out at second ss to 2b.
3300438	#	3	#	50	#		#		#	Hale singled through the left side (2-0); Moore advanced to second.
3300438	#	3	#	51	#		#		#	Fraley grounded out to p (2-2).
3300438	#	3	#	52	#	R: 1 H: 2 E: 0 LOB: 1	#	1-7	#	R: 0 H: 2 E: 0 LOB: 2
3300438	#	4	#	53	#	Alex Detz grounded out to 2b (2-1).	#		#	
3300438	#	4	#	54	#	Wes Rea struck out swinging (1-2).	#		#	
3300438	#	4	#	55	#	Brett Pirtle struck out swinging, reached first on a wild pitch (1-2).	#		#	
3300438	#	4	#	56	#	D. Armstrong singled to right center (2-1); Brett Pirtle advanced to third.	#		#	
3300438	#	4	#	57	#	C. Bradford pinch hit for D. Henderson.	#		#	
3300438	#	4	#	58	#	C. Bradford singled through the left side, RBI (0-1); D. Armstrong advanced to second; Brett Pirtle scored.	#	2-7	#	
3300438	#	4	#	59	#	J. Vickerson walked (3-0); C. Bradford advanced to second; D. Armstrong advanced to third.	#		#	
3300438	#	4	#	60	#	G. Collins reached on a fielder's choice (1-2); J. Vickerson out at second ss to 2b.	#		#	
3300438	#	4	#	61	#		#		#	C. Bradford to rf.
3300438	#	4	#	62	#		#		#	Ibarra singled to left field (0-0).
3300438	#	4	#	63	#		#		#	Stevenson singled, bunt (0-0); Ibarra advanced to second.
3300438	#	4	#	64	#		#		#	McMullen walked (3-2); Stevenson advanced to second; Ibarra advanced to third.
3300438	#	4	#	65	#		#		#	Vance Tatum to p for Myles Gentry.
3300438	#	4	#	66	#		#	2-8	#	Laird singled to left field, RBI (1-0); McMullen advanced to second; Stevenson advanced to third; Ibarra scored.
3300438	#	4	#	67	#		#	2-10	#	Bregman singled up the middle, 2 RBI (3-1); Laird advanced to second; McMullen scored; Stevenson scored.
3300438	#	4	#	68	#		#		#	A. Sexton to p for Vance Tatum.
3300438	#	4	#	69	#		#		#	Bregman advanced to second on a wild pitch; Laird advanced to third.
3300438	#	4	#	70	#		#		#	Scivicque popped up to ss (3-2).
3300438	#	4	#	71	#		#		#	Moore struck out swinging (1-2).
3300438	#	4	#	72	#		#		#	Hale flied out to lf (1-0).
3300438	#	4	#	73	#	R: 1 H: 2 E: 0 LOB: 3	#	2-10	#	R: 3 H: 4 E: 0 LOB: 2
3300438	#	5	#	74	#	Cartwright to p for Bugg.	#		#	
3300438	#	5	#	75	#	Z. Randolph singled through the left side (1-0).	#		#	
3300438	#	5	#	76	#	Seth Heck grounded out to ss (3-2); Z. Randolph advanced to second.	#		#	
3300438	#	5	#	77	#	Alex Detz grounded out to ss (0-2); Z. Randolph advanced to third.	#		#	
